gene_id	symbol	lib15-rpkm-heat	lib17-rpkm-control       (right/left: >2  up expressed, < 0.5 down expressed)
417717	DNAJC2	42.72	41.02
417718	PMPCB	15.71	15.23
417719	NAPEPLD	26.44	21.09
417720	ARMC10	1.87	4.41
417721	FBXL13	0	0
417722	LOC417722	12	13.85
417723	CCDC146	0.13	0.2
417724	PION	0.66	1.62
417725	PTPN12	42.53	23.05
417727	TMEM60	14.79	13.58
417728	PHTF2	9.03	10.34
417729	MAGI2	0.27	0.48
417730	CD36	0.91	4.47
417731	BRD1	14.96	14.08
417733	ALG12	12.68	11.27
417734	ZBED4	43.8	43.33
417735	CRELD2	20.73	18.72
417737	MLC1	0	0
417738	LOC417738	0.01	0
417739	MAPK11	3.98	5.82
417741	LOC417741	0	0.07
417745	SELO	2.74	2.59
417746	TRABD	18.66	25.03
417747	ZNF800	8.22	8.7
417748	GPR37	4.85	2.47
417749	SPAM1	0	0
417750	WASL	25.87	28.34
417751	LMOD2	0	0
417752	ASB15	0.07	0.22
417753	NDUFA5	52.02	63.67
417754	IQUB	1.54	1.05
417755	LOC417755	21.8	23.28
417756	CADPS2	0.72	1.27
417757	AASS	1.83	2.26
417758	FAM3C	54.16	28.84
417759	LOC417759	0	0.07
417760	LOC417760	0.49	0.37
417761	LOC417761	0.2	0.17
417762	ING3	12.3	13.33
417763	TSPAN12	23.87	22.38
417764	ANKRD26	2.52	1.66
417765	LSM8	23.74	39.61
417766	CTTNBP2	0.02	0.07
417768	ASZ1	0	0
417769	WNT2	0	0
417770	ST7	35.58	41.31
417771	CAPZA2	54.84	43.93
417772	CAV2	14.84	18.99
417773	TFEC	0	0.05
417774	MDFIC	15.25	15.73
417775	GPR85	0.28	0.15
417776	C1H7orf60	13.31	10.81
417777	TMEM168	15.57	20.19
417778	C7orf53	0.08	0
417779	DOCK4	0.82	0.74
417780	IMMP2L	7.06	6.13
417783	DNAJB9	8.11	8.96
417784	THAP5	23.79	32.15
417785	PNPLA8	11.11	16.38
417786	CNTN1	0.34	0.48
417787	PDZRN4	0.02	0
417789	GLT8D3	23.53	20.59
417790	YAF2	11.38	14.34
417791	ZCRB1	13.77	18.04
417792	PPHLN1	20.06	16.98
417793	PRICKLE1	0.43	0.32
417794	ADAMTS20	1.96	3
417795	PUS7L	1.08	2.29
417796	IRAK4	6.48	7.02
417797	TWF1	24.15	23.58
417798	TMEM117	0	0
417799	NELL2	0.07	0.31
417800	LOC417800	0	0
417801	DBX2	0.09	0
417802	TMEM16F	0	0
417804	ARID2	2.86	4.77
417805	SRSF2IP	41.29	56.27
417806	SLC38A1	56.8	58.59
417807	SLC38A2	56.44	77.98
417809	SLC38A4	33.47	25.92
417810	AMIGO2	10.66	1.35
417811	RPAP3	25.96	37.29
417812	XRCC6BP1	23.56	24.72
417813	LRIG3	0.61	2.78
417815	SLC16A7	0.1	0.73
417818	MON2	5.76	9.98
417820	TMEM5	5.59	7.35
417821	SRGAP1	11.81	7.45
417822	LOC417822	13.5	26.81
417823	RPL18A	270.72	243.86
417824	XPOT	82.72	70.07
417825	TBK1	5.26	6.83
417827	LOC417827	0	0
417828	RASSF3	96.46	82.04
417829	GNS	130.67	121.45
417830	TBC1D30	8.85	13.32
417831	WIF1	3.81	1.3
417832	LEMD3	17.36	28.68
417833	MSRB3	0.22	0.75
417836	HELB	0.83	1.74
417837	CAND1	60.9	67.91
417838	IL22	0	0
417839	MDM1	3.03	2.39
417840	RAP1B	43.96	36.86
417841	NUP107	25.34	31.79
417842	SLC35E3	36.4	43.19
417843	CPM	0	0.22
417844	CPSF6	49.17	81.68
417845	FRS2	10.53	12.71
417846	CCT2	362.67	260.64
417848	LOC417848	0	0
417849	BEST3	0	0.08
417850	RAB3IP	20.94	18.42
417851	CNOT2	26.94	25.19
417852	KCNMB4	0.17	0.07
417853	PTPRB	0.5	0.58
417854	TSPAN8	149.27	99.88
417855	CCDC131	4.71	4.12
417856	TMEM19	20.05	18.46
417857	TBC1D15	27.52	27.25
417859	CAPS2	6.87	0.29
417860	CCDC107	7.86	4.62
417861	GLIPR1L2	0	0
417862	GLIPR1	0.95	0.48
417863	KRR1	42.73	29.76
417864	NAP1L1	208.58	199.48
417865	BBS10	1.49	0.84
417866	OSBPL8	11.67	17.92
417867	ZDHHC17	10.35	10.08
417868	E2F7	8.16	7.43
417869	NAV3	0.01	0.02
417870	PAWR	8.8	13.53
417871	RPS16	332.99	366.56
417872	LOC417872	0	0
417873	MYF6	0	0
417874	LIN7A	6.47	4.58
417875	ACSS3	2.86	2.92
417877	PPFIA2	0.03	0.04
417878	CCDC59	36.62	35.69
417879	C1H12orf26	0.92	1.71
417880	TMTC2	5.12	7
417881	SLC6A15	9.14	7.46
417882	LRRIQ1	0	0.03
417883	NTS	0	0
417885	C12orf50	8.94	12.61
417886	C12orf29	10.86	10.46
417887	CEP290	1.46	1.61
417888	TMTC3	14.84	17.16
417889	WDR51B	8.4	11.26
417890	EPYC	0	0
417891	LUM	0	0
417892	DCN	0.13	0.16
417894	LOC417894	0	0.08
417895	PLEKHG7	0	0.1
417896	EEA1	12.39	17.25
417897	NUDT4	62.47	84.87
417898	UBE2N	29.36	30.04
417899	MRPL42	16.51	23.24
417900	CRADD	2.32	4.12
417901	PLXNC1	1.49	1.62
417902	PLXNC1	3.49	3.9
417904	CCDC41	2.29	5.46
417905	TMCC3	14.26	19.43
417907	NDUFA12	20.83	27.79
417908	FGD6	6.06	7.75
417909	LOC417909	0.07	0.05
417911	VEZT	13.23	18.08
417912	METAP2	118.29	130.14
417913	USP44	8.94	7.73
417914	NTN4	0.28	0.25
417916	SNRPF	44.84	69.96
417917	AMDHD1	8.94	6.22
417918	LTA4H	55.87	82.09
417919	ELK3	17.5	14.06
417920	PCTK2	6.73	11.5
417921	LOC417921	0	0
417922	NEDD1	32.06	34.49
417923	TMPO	52.35	90.3
417924	SLC25A3	272.33	389.34
417925	IKBIP	10.12	5.68
417926	APAF1	12.15	9.64
417927	ANKS1B	0.08	0.2
417929	UHRF1BP1L	7.28	6.86
417930	SCYL2	15.83	18.89
417931	GAS2L3	1.78	5.77
417932	SLC5A8	0.09	0.09
417933	UTP20	15.93	15.77
417934	ARL1	61.84	75.09
417935	NUP205	10.22	17.79
417936	CNOT4	20.79	14.41
417937	LOC417937	0.02	0.18
417938	STRA8	0.12	0.3
417939	WDR91	15.48	19.85
417940	TMEM140	0	0.36
417941	ARHGDIB	21.27	27.54
417942	ERP27	0	0
417943	OC3	0.39	0.07
417944	LOC417944	0.5	0.64
417946	H4	8.45	1.96
417947	H2A-IX	11.17	3.56
417948	LOC417948	2.97	1.66
417950	H4-VII	3.3	0.74
417953	LOC417953	0	0
417954	LOC417954	13.66	10.4
417955	LOC417955	1.76	0.79
417956	H2B-VII	1.48	0.3
417957	H2B-V	5.95	1.5
417959	DDX47	56.22	55.95
417960	GPRC5A	6.02	7.08
417961	HEBP1	27.35	21.52
417962	LOC417962	0.32	0.56
417963	KIAA1467	3.77	4.71
417964	EMP1	7.77	1.11
417965	GRIN2B	0.03	0
417966	ATF7IP	30.81	14.82
417967	PLBD1	51.84	61.61
417968	GUCY2C	5.72	32.97
417969	TTC26	1.8	3.82
417970	LOC417970	12.65	8.77
417971	LUC7L2	147.19	157.05
417972	GBE	0.13	0.34
417973	LOC417973	0.05	0.06
417974	POLDIP3	30.75	34.91
417975	RRP7A	18.55	27.9
417976	SERHL2	3.44	5.91
417978	SOCS1B	0.06	0.04
417979	NFAM1	0.06	0
417980	TCF20	20.07	19.32
417981	LOC417981	25.35	27.5
417982	CENPM	2.94	10.84
417983	TNFRSF13C	0	0
417984	CCDC134	24.69	40.26
417985	MEI1	0.09	0.22
417986	NHP2L1	91.65	105.82
417989	PMM1	36.77	50.28
417990	POLR3H	32.63	38.01
417991	PHF5A	41.67	50.42
417992	TOB2	61.96	27.69
417996	ZC3H7B	9.53	18.86
417997	RANGAP1	46.75	48.57
417999	L3MBTL2	21.75	26.83
418000	EP300	13.29	13.94
418001	RBX1	19.95	26
418002	XPNPEP3	6.92	11.51
418003	ST13	266.71	140.43
418004	SLC25A17	24.24	27.44
418005	MKL1	15.43	14.58
418008	SGSM3	4.16	6.97
418009	LOC418009	7.11	6.28
418010	TNRC6B	7	6.88
418011	RPS19BP1	13.89	15.32
418012	SMCR7L	13.61	12.72
418013	MGAT3	3.11	3.82
418014	TAB1	9.5	4.21
418016	RPL3	331.31	307.04
418017	CBX7	0.14	0.2
418019	DNAL4	9.9	12.68
418020	LOC418020	0.55	0.13
418021	LOC418021	4.57	2.49
418022	GTPBP1	4.42	5.04
418023	JOSD1	8.79	8.51
418024	DDX17	69.84	36.33
418026	KDELR3	0.25	0
418027	TMEM184B	50.61	47.85
418028	PLA2G6	3.53	2.73
418029	BAIAP2L2	0.83	1.75
418030	PICK1	12.97	12.67
418031	C1H22orf23	0.07	0.09
418032	MICALL1	2.82	3.65
418033	EIF3EIP	150.7	177.62
418034	ANKRD54	35.05	33.53
418035	TRIOBP	7.35	6.52
418037	NOL12	28.34	26.95
418038	LOC418038	0.54	2.57
418039	GGA1	30.68	29.37
418040	LOC418040	10.79	22.97
418041	CARD10	3.88	2.51
418042	MFNG	0	0
418043	CYTH4	1.19	0.19
418044	RAC2	0.54	0.08
418046	TMPRSS6	5.66	4.23
418047	KCTD17	0.18	0.68
418048	MPST	0.6	1.8
418049	TST	45.49	53.5
418050	C22orf33	0.44	0.19
418051	LOC418051	0	0.04
418052	NCF4	1.51	0.71
418053	RABL4	2.37	1.24
418054	FOXRED2	8.76	7.06
418055	RBM9	7.5	8.15
418056	MB	0.34	0.77
418057	RASD2	0	0
418058	MCM5	20.89	43.24
418059	HMG2L1	13.12	16.76
418060	ISX	5.85	3.34
418062	LARGE	7.45	5.22
418063	FBXO7	16.04	28.42
418064	C22orf28	40.91	40.49
418065	PRDM4	3.98	2.92
418066	PWP1	67.32	57.34
418067	MTERFD3	1.77	4.05
418068	C1H12orf23	65.18	43.16
418069	RIC8B	27.93	23.41
418070	RFX4	0.16	0
418071	POLR3B	14.42	14.76
418073	CKAP4	21.71	34.13
418074	NUAK1	1.98	2.2
418075	APPL2	7.55	23.78
418077	KIAA1033	4.27	7.47
418078	ALDH1L2	6.63	10.66
418079	C12orf45	16.11	19.81
418081	CHST11	0.44	0.17
418082	TXNRD1	39.52	41.23
418083	HCFC2	3.72	5.34
418085	GLT8D2	0	0
418086	LOC418086	0	0
418087	LOC418087	0	0
418088	LOC418088	0	0
418089	LOC418089	0	0.01
418090	IGF1	0	0
418092	C1H12orf48	0.69	1.79
418093	NUP37	39.31	29.99
418094	CCDC53	23.64	19.56
418095	DRAM1	0.41	0.39
418096	GNPTAB	21.45	29.6
418097	SYCP3	0.79	0.88
418098	CHPT1	3.02	3.52
418099	MYBPC1	0.15	0.04
418100	PARP12	17.19	10.62
418101	TBXAS1	5.46	9.3
418103	TMEM213	0.29	0.25
418104	ATP6V0A4	0.64	0.14
418105	SVOPL	0.26	0.21
418106	TRIM24	5.35	5.27
418107	AKR1D1	0.16	0.16
418108	LOC418108	6.03	7.93
418109	LOC418109	1.23	0.38
418110	JHDM1D	12.41	9.93
418112	SLC37A3	23.85	29.05
418113	RAB19	0.66	1.15
418114	LOC418114	0.21	0.27
418115	DENND2A	3.81	3.41
418116	ADCK2	1.81	5.38
418118	NDUFB2	35.11	31.88
418119	MRPS33	14.91	17.99
418120	LOC418120	0.26	0.11
418121	AGK	10.89	13.81
418122	SSBP1	73.74	49.02
418123	CREB3L2	68.61	49.58
418124	DGKI	0.17	0.18
418125	PTN	0.21	0.09
418126	CHRM2	0.26	0.17
418127	SLC13A4	0	0
418128	LOC418128	43.63	53.45
418129	SYT10	0.04	0
418130	PKP2	2.54	2.27
418131	YARS2	45.61	37.2
418132	DNM1L	36.19	37.91
418133	FGD4	0.22	0.25
418136	C1H12orf35	13.69	11.34
418137	AMN1	0.31	0.24
418138	METTL20	4.39	6.13
418139	DENND5B	0.64	2.33
418140	FAM60A	99.75	101.74
418141	CAPRIN2	6.65	7.4
418142	IPO8	10.46	15.23
418143	TMTC1	2.46	0.67
418144	DDX11	1.75	3.98
418145	WASH1	18.61	22.28
418146	IQSEC3	0.87	0.24
418147	SLC6A13	0.72	0.78
418148	JARID1A	11.55	11.73
418149	CCDC77	1.93	2.72
418150	B4GALNT3	0.82	1.52
418151	NINJ2	0.29	0.1
418152	RAD52	3.64	8.67
418153	ERC1	14.45	9.7
418154	WNT5B	0.66	2.26
418155	ADIPOR2	80.71	104.28
418158	IL17RA	13.03	19.66
418159	CECR5	17.23	23.62
418160	CECR1	6.1	9.05
418161	CECR2	2.89	2.08
418162	ATP6V1E1	124.04	137.28
418163	BCL2L13	23.01	22.62
418164	MICAL3	4.57	4.96
418165	PEX26	8.47	9.63
418166	TUBA4A	0.04	0
418167	USP18	4.19	4.15
418168	LOC418168	0.14	0
418169	AKR1B10	55.84	28.39
418170	LOC418170	39.78	35.27
418171	AKR1B1	44.89	39.76
418172	BPGM	26.92	26.25
418173	RERG	0.45	0.21
418174	EPS8	3.64	7.78
418175	STRAP	76.15	97.15
418176	DERA	10.42	21.02
418177	SLC15A5	0.23	0.04
418178	MGST1	274.32	316.53
418179	LMO3	0.04	0.23
418180	RERGL	0.61	0.75
418181	PIK3C2G	0.79	2.31
418182	PLCZ1	0.06	0.04
418183	PLEKHA5	5.54	9.05
418184	AEBP2	10.95	14.8
418185	PDE3A	16.31	24.59
418186	SLCO1C1	0.09	0.04
418187	SLCO1B3	0.23	0.14
418189	LOC418189	0.05	0.35
418190	SLCO1A2	0.02	0.13
418191	PYROXD1	2.47	3.6
418192	GOLT1B	32.12	29.98
418193	BCAT1	15.56	10.17
418195	SOX5	0.28	0.28
418196	ETNK1	26.51	20.6
418197	KIAA0528	8.37	12.1
418198	C3AR1	0	0
418199	CMAS	4.84	5.78
418200	ABCC9	0.01	0
418201	GYS2	4.99	3.72
418202	LOC418202	0	0.13
418204	LOC418204	0	0
418205	LRMP	0	0.09
418206	CASC1	0.64	0.57
418207	KRAS	32.89	35.92
418208	LOC418208	0	0
418209	LOC418209	0.07	0
418210	RASSF8	15.71	13.59
418211	SSPN	0.11	0.17
418212	ITPR2	0.11	0.2
418213	C1H12orf11	74.46	66.42
418214	FGFR1OP2	25.47	27.22
418215	TM7SF3	5.08	6.52
418216	MED21	17.37	9.11
418217	STK38L	22.27	17.43
418218	LOC418218	0.14	0
418219	PPFIBP1	33.49	36.01
418220	CYB5R3	32.11	29.05
418221	LOC418221	3.77	16.24
418222	LOC418222	0.33	0.84
418223	A4GALT	0	0
418224	ARFGAP3	61.22	52.89
418225	TTLL1	2.87	1.57
418226	TSPO	21.92	26.42
418227	TTLL12	26.94	39.9
418228	SCUBE1	0.28	1.13
418229	MPPED1	3.2	3.85
418231	EFCAB6	0	0
418232	SULT4A1	3.41	2.8
418233	PNPLA3	32.68	29.19
418234	SAMM50	17.61	30.9
418235	PARVB	17.49	18.31
418236	PARVG	0.34	0.17
418237	PRR5	22.33	15.08
418238	LOC418238	0.05	0
418239	ARHGAP8	1.61	3.17
418240	NUP50	41.21	46.48
418241	C22orf9	12.48	16.55
418242	UPK3A	0.07	0
418243	SMC1B	0.06	0.07
418244	RIBC2	0.1	0
418245	ATXN10	5.77	5.73
418246	C1H22orf40	1.1	1.66
418247	PFKFB3	35	59.4
418248	RBM17	17.28	15.24
418249	LOC418249	0.79	1.95
418250	MKLN1	12.95	31.07
418251	A2M	1.34	2.99
418252	PHC1	6.24	14.19
418253	LOC418253	0.22	4.01
418254	A2ML1	1.52	1.59
418255	RIMKLB	2.18	3.22
418256	MFAP5	0.36	0.12
418257	AICDA	0	0
418259	FOXJ2	13.27	11.27
418261	FKBP4	193.39	84.49
418262	ITFG2	6.21	6.14
418263	TSPAN9	4.02	6.79
418264	PARP11	3.08	3.38
418265	MAN1A2	17.16	11.14
418266	CASR	0.88	3.09
418267	CSTB	1.69	2.61
418268	CSTA	11.52	5.6
418269	CCDC58	8.53	13.57
418270	FAM162A	5.5	7.21
418271	KPNA1	34.03	43.09
418273	VAMP1	1.52	1.5
418274	MRPL51	12.7	20.5
418275	NCAPD2	1.02	2.81
418276	IFFO1	2.45	2.16
418277	NOL1	69.34	74.42
418278	CHD4	1.7	1.8
418279	GPR92	0.57	0.58
418280	LOC418280	0.08	0
418281	ING4	9.01	8.65
418282	C1H12orf53	1.08	2.07
418283	COPS7A	67.17	65.97
418284	MLF2	110.41	113.83
418286	PTMS	317.66	232.35
418287	LAG3	0.08	0.07
418288	GPR153	0.78	0.87
418289	LEPREL2	0.05	0.06
418290	USP5	24.84	38.86
418291	LRRC23	0.77	1.23
418292	EMG1	16.22	23.27
418293	MBOAT5	44.65	65.14
418294	C1S	10.48	12.55
418295	C1R	8.9	17.75
418296	RBP5	15.51	17.01
418297	CLSTN3	4.35	4.16
418298	LOC418298	31.52	11
418299	PEX5	25.38	25.63
418300	ZYX	105.97	57.19
418301	LOC418301	0	7.75
418302	GSTK1	23.21	23.81
418303	LOC418303	0.23	0.16
418306	KEL	0.59	1.51
418307	TRPV6	0	0.04
418308	EPHB6	0	0
418309	LOC418309	0	0
418310	STYK1	0.97	2.93
418311	HAO2	0.8	0.83
418312	WARS2	3.45	6.55
418313	TBX15	0	0
418315	SPAG17	0.02	0.1
418318	LOC418318	0	0
418319	NAT13	52.12	56.58
418320	KIAA2018	4.48	3.71
418321	SIDT1	0.34	1.26
418322	CCDC52	1.46	1.1
418323	VTCN1	0.1	0.07
418324	C17orf68	2.11	1.94
418325	TNFRSF1A	9.97	10.87
418326	POLQ	0.74	1.43
418327	STXBP5L	0.12	0.02
418328	GTF2E1	3.08	5.32
418329	RABL3	6.67	6.62
418330	HGD	0.81	1.26
418332	LRRC58	18.32	13.12
418333	GPR156	1.51	6.52
418335	GSK3B	32.3	29.93
418336	SLC22A15	1.47	2.01
418337	VANGL1	8.88	8.47
418338	CHD1L	1.14	2.42
418339	LOC418339	3.09	4.92
418340	TMEM39A	7.38	8.72
418341	B4GALT4	13.14	15
418342	B4GALT3	2.31	1.94
418344	ARHGAP31	0	0
418345	UPK1B	0.27	0.12
418346	IGSF11	0.09	0
418349	ZBTB20	2.44	2.99
418351	QTRTD1	17.19	27.74
418352	KIAA1407	0.63	0.97
418353	ZDHHC23	1.93	1.03
418354	GRAMD1C	3.08	8.55
418355	LOC418355	0	0
418356	PLA2G10	0.08	0.32
418357	CLDND1	31.16	26.71
418358	ILDR1	3.58	7.69
418359	WDR52	0.26	0.54
418360	LOC418360	0.41	0.79
418361	BOC	0.04	0.05
418362	LOC418362	0.08	0
418363	LOC418363	0.14	0
418365	TAF13	28.51	35.38
418366	GTPBP8	5.8	9.23
418367	CD200R1	0	0
418368	SLC35A5	4.05	4.64
418369	ATG3	8.26	10.78
418370	C1H1orf114	0.71	0.46
418371	BLZF1	19.99	14.12
418373	SFT2D2	29.4	48.95
418374	TIPRL	21.07	20.62
418375	GPR161	5.4	3.96
418376	TTF2	2.29	4.85
418377	CPOX	20.69	17.43
418378	COL8A1	0	0.02
418379	DCBLD2	12.45	10.87
418380	TMEM30C	1.5	2.19
418381	C1H3orf26	4.19	4.71
418382	LOC418382	0	0.15
418383	TBC1D23	7.49	6.89
418386	NIT2	14.63	19.94
418387	TOMM70A	25.55	40.16
418388	LNP1	0.3	0.76
418389	TMEM45A	0	0.32
418390	LOC418390	0	0.09
418391	TFG	49.42	43.88
418392	ABI3BP	0.09	0.11
418393	IMPG2	1.07	0.44
418394	LOC418394	1.02	1.31
418395	LOC418395	0.2	0.19
418396	TXNL4B	2.29	3.09
418397	RG9MTD1	16.75	25.41
418398	PCNP	43.2	39.09
418400	ZBTB11	5.6	5.68
418401	RPL24	336.49	288.03
418402	LRRIQ2	4.72	5.22
418403	FAM55C	2.05	3.13
418404	NFKBIZ	7.01	5.41
418405	ZPLD1	0.41	0.52
418406	CBLB	7.36	7.82
418407	BBX	7.02	7.14
418408	CD47	30.6	39.99
418409	IFT57	6.45	7.17
418410	KIAA1524	3.46	11.64
418411	SH2D1B	0.13	0.16
418412	TRAT1	0.06	0
418413	LOC418413	2.54	7.62
418414	LOC418414	2.82	7.19
418415	PVRL3	8.01	4.88
418416	LOC418416	0	0
418417	PLCXD2	2.33	1.98
418418	PHLDB2	5.37	6.34
418419	ABHD10	4.17	2.83
418420	TAGLN3	0.26	0.07
418421	LOC418421	1.86	0.37
418422	C1H3orf52	12.74	8.92
418423	LOC418423	1.84	0.22
418424	LOC418424	6.83	20.5
418425	CD200	0.31	0.28
418426	LOC418426	0	0
418427	LOC418427	2.6	3.12
418428	ZNF654	9.53	9.79
418429	C1H3orf38	10.53	10.94
418430	PROS1	53.07	53.42
418431	ARL13B	10.69	9.14
418432	NSUN3	13.64	17.66
418433	ARL6	2.61	1.67
418435	CHCHD3	55.1	56.4
418436	MINA	2.61	3.41
418437	LOC418437	2.37	2.95
418438	IQWD1	2.58	5.93
418441	MPZL1	7.42	8.5
418443	RCSD1	0.02	0
418444	DUSP27	0	0.46
418445	GPA33	8.64	13.72
418446	MAEL	0.34	1.07
418447	ILDR2	14.97	11.04
418448	ZFP92	16.32	15.41
418449	PTGFRN	14.24	16.46
418450	IGSF2	0.72	0.31
418451	IGSF3	9.51	11.27
418452	ADPRH	0.97	1.12
418453	LOC418453	0	0
418455	POGLUT1	9.55	15.6
418456	BCL9	6.32	9.69
418458	ACP6	4.43	7.91
418459	GPR89B	3.65	4.83
418460	PDZK1	0.35	0.45
418461	CHMP2B	36.12	40.94
418462	VGLL3	0.04	0.11
418463	CADM2	0.07	0.09
418465	LOC418465	0	0
418466	LIPI	5.69	13.3
418467	RBM11	1.39	0.44
418468	LOC418468	2.12	3.23
418469	STCH	10.88	15.13
418470	SAMSN1	0.03	0.07
418471	USP25	5.23	5.44
418472	LOC418472	0.09	0
418473	CXADR	41.92	61.39
418474	CHODL	0	0.04
418475	MRPL39	21.99	26.68
418476	JAM2	5.87	2.35
418477	ATP5J	61.4	53.73
418478	GABPA	35.33	35.88
418479	ADAMTS1	0.43	0.38
418481	N6AMT1	6.03	13.24
418482	ZNF294	9.43	10.31
418484	RWDD2B	4.92	3.87
418485	USP16	24.13	28.58
418486	CCT8	285.76	218.17
418487	C21orf7	3.27	3.45
418488	BACH1	11.54	8.85
418489	GRIK1	0.06	0.02
418491	TIAM1	0.64	1.35
418492	SFRS15	17.98	22.26
418493	HUNK	0.06	0.1
418494	C21orf45	5.17	11.66
418495	LOC418495	0.16	0.27
418496	C21orf63	2.21	0.68
418497	C1H21orf59	5.91	5.98
418498	SYNJ1	3.59	4.12
418499	GCFC1	11.79	15.05
418501	C1H21orf62	0.12	0.15
418502	IFNGR2	45.72	46.15
418503	TMEM50B	13.43	16.67
418504	DONSON	3.19	3.98
418505	CRYZL1	3.07	4.15
418506	ITSN1	8.98	13.06
418508	ATP5O	45.98	75.48
418510	RCAN1	7.2	7.37
418511	SETD4	0.97	1.64
418512	CBR1	65.3	88.45
418513	DOPEY2	2.44	1.31
418514	CHAF1B	6.72	19.5
418515	SIM2	0.22	0.03
418516	HLCS	6.55	6.29
418517	PIGP	5.33	11.65
418518	TTC3	10.09	11.36
418519	DSCR3	11.38	6.55
418520	DSCR2	6.81	10.96
418521	BRWD1	9.91	12.15
418522	C21orf13	0.9	1.57
418523	SH3BGR	25.84	9.23
418524	IGSF5	2.63	7.21
418525	DSCAM	0.65	0.49
418526	BACE2	4.02	8.39
418527	FAM3B	0	0.1
418528	TMPRSS2	0.07	0.62
418529	RIPK4	1.59	1.66
418531	PRDM15	4.45	4.29
418532	C2CD2	6.04	9.38
418533	ABCG1	0.47	0.94
418534	TFF2	0	0
418535	UBASH3A	0	0
418536	RSPH1	0.25	0.06
418537	SLC37A1	0.93	4.83
418538	PDE9A	0.86	4.04
418540	WDR4	31.47	40.79
418541	NDUFV3	14.38	18.16
418542	PKNOX1	11.83	7.26
418543	LOC418543	1.26	2.37
418544	LOC418544	0.03	0.09
418545	CBS	14.89	10.6
418546	CRYAA	0.35	0.15
418548	HSF2BP	0.62	0.34
418549	PDXK	37.06	44.77
418550	AGPAT3	6.58	7.59
418551	PWP2	3.46	5.55
418552	C1H21orf33	5.7	7.62
418554	LOC418554	0	0.1
418555	C1HXorf36	0.03	0.08
418556	KDM6A	16.24	16.41
418558	FUNDC1	5.62	6.59
418559	EFHC2	0.32	0.13
418560	NDP	0	0
418561	MAOB	0.22	0.19
418563	MAOA	2.9	6.11
418564	LOC418564	0	0
418565	CASK	27.14	25.05
418566	NYX	0.1	0.1
418567	DDX3X	183.39	318.42
418568	RPL8	618.08	668.17
418569	USP9X	26.33	30.22
418572	MED14	10.37	12.8
418573	ATP6AP2	36.24	33.27
418574	BCOR	12.62	27.2
418575	LOC418575	0	0
418576	LOC418576	0.62	0.69
418577	TSPAN7	6.09	4.73
418578	RPGR	0.14	0.15
418579	SRPX	0.71	0.48
418580	DYNLT3	18.92	20.98
418581	CYBB	0.36	0.4
418582	PRRG1	4.87	4.09
418583	CXorf59	0.02	0.02
418585	TMEM47	0	0
418588	MAP3K7IP3	20.27	23.85
418589	GK	6.86	12.86
418591	LOC418591	0	0
418592	LOC418592	0.07	0.15
418593	POLA1	5.02	13.16
418594	PCYT1B	3.14	2.76
418595	PDK3	17.33	21.23
418596	ZFX	18.25	14.56
418597	EIF2S3	114.05	133.96
418598	KLHL15	9.72	8.03
418599	APOO	2.54	4.86
418600	ACOT9	42.14	40.78
418601	PRDX4	89.03	103.91
418602	SMS	25.34	33.84
418604	KLHL34	0	0
418605	RPS6KA3	26.62	36.99
418606	EIF1AY	81.79	77.51
418607	LOC418607	20.01	15.17
418608	SH3KBP1	37.1	30.37
418609	MAP3K15	0	0
418610	PDHA1	58.44	73.99
418611	GPR64	6.29	7.01
418612	PHKA2	1.16	1.8
418613	SCML2	3.74	4.24
418614	RAI2	25.14	21.09
418616	NHS	0.78	1.32
418617	REPS2	2.57	3.7
418618	TXLNG	13.21	17.97
418619	SYAP1	13.04	11.34
418620	CTPS2	2.12	4.68
418621	AP1S2	25.41	39.89
418622	TMEM27	1.24	1.58
418623	ACE2	0.31	0.15
418624	PIGA	2.78	1.91
418625	ASB9	1.94	2.78
418627	MOSPD2	7.79	8.6
418628	FANCB	0.98	2.33
418630	LOC418630	0	0
418631	GEMIN8	11.59	12.14
418632	GPM6B	7.07	12.86
418633	OFD1	0.84	1.31
418634	TRAPPC2	17.3	19.28
418635	RAB9A	20.26	19.73
418636	TCEANC	2.41	2.19
418637	EGFL6	0	0
418638	TLR7	0.14	0.13
418639	PRPS2	39.43	54.73
418640	FRMPD4	0.03	0.07
418641	MSL3	3.43	3.8
418642	ARHGAP6	3.15	0.26
418644	GRM3	0.02	0
418645	KIAA1324L	0.33	0
418646	DMTF1	4.35	4.45
418647	C7orf23	1.74	2.02
418648	LOC418648	0	0
418649	WWC3	13.97	10.87
418651	SHROOM2	9.64	10.75
418652	GPR143	0.04	0.05
418653	PNPLA4	0.98	1.98
418654	STS	11.67	11.66
418655	HDHD1A	1.28	1.88
418656	PRKX	13.34	13.08
418657	MXRA5	1.23	1.13
418658	ARSD	0.48	1.93
418659	ARSE	0.8	1.02
418660	GYG2	0.03	0
418661	XG	0.48	0.2
418662	CD99	12.52	13.52
418663	ZBED1	8.57	9.47
418664	AKAP17A	18.19	15.46
418665	P2RY8	0.04	0.22
418666	CSF2RA	0.07	0
418667	CSF2RA	0	0
418668	LOC418668	0	0
418669	SHOX	0.37	0
418670	PPP2R3B	0.99	2.64
418671	LOC418671	3.05	4.96
418672	GTPBP6	2.67	4.11
418673	PLCXD1	0.52	0.36
418674	PHF16	21.39	20.91
418675	RP2	28.19	21.73
418676	SLC9A7	0.78	0.87
