ADA	comp63790_c0_seq3
FOXK1	amisp004962
MMD2	comp70215_c0_seq19
DAGLB	comp69480_c1_seq6
CCZ1B	amisp018217
THSD7A	amisp019872
VSTM2A	amisp030395
TMED4	amisp002175
C7orf41	amisp012643
PRR15	amisp024999
SRRM3	amisp020790
RSBN1L	amisp017385
FDFT1	amisp009254
KIAA1324L	amisp029288
LRWD1	amisp029135
FAM185A	amisp017375
FBXL13	comp61335_c0_seq1
NAPEPLD	amisp017369
ATXN7L1	amisp014188
CDHR3	comp1507012_c0_seq1
BEND7	amisp029270
FDPS	amisp000346
LNX2	amisp016517
GPR97	amisp011880
HS3ST5	amisp007215
GPRC6A	amisp026710
RFX6	amisp026713
SLC35F1	amisp020480
FAM83B	amisp001348
UNC5CL	amisp019256
KCTD20	amisp025042
SCUBE3	comp68838_c0_seq2
NKAPL	amisp034923
TMEM130	amisp015077
FERD3L	amisp000316
NYAP1	amisp034267
SLC29A4	amisp004953
RSPH10B	amisp018216
ALDH9A1	amisp034677
FDX1	amisp023047
CCDC129	amisp014904
ZNRF2	amisp013719
SEMA3D	amisp007832
FDXR	amisp022436
FECH	amisp006243
FEN1	amisp031349
GPC4	amisp031777
ALDH3A2	amisp016266
FER	amisp000836
FES	comp24277_c0_seq1
FGA	amisp023165
FGB	amisp024952
FGF1	amisp029831
FGF2	amisp029775
FGF3	amisp010931
FGF4	amisp010932
ABCD2	amisp003013
FGF5	amisp012240
FGF6	amisp022367
FGF7	amisp015922
FGF9	amisp003967
FGF10	amisp019973
FGF11	comp69438_c0_seq2
MAPK15	amisp020813
FGF12	comp69703_c0_seq12
FGF13	amisp021200
FGF14	amisp011235
ALDOA	comp71309_c0_seq1
FGFR1	comp70312_c1_seq4
FGFR3	comp68815_c1_seq1
GPC5	amisp017944
FGFR2	amisp032831
FGFR4	amisp011306
FGG	amisp009327
FGL1	amisp015180
FH	amisp034787
FHIT	amisp016198
FHL1	comp57081_c0_seq1
FHL2	amisp030997
FHL3	comp67760_c0_seq4
FIGF	amisp024777
CASC3	amisp022956
NID2	amisp003659
COG2	comp66094_c2_seq5
TFEC	amisp007456
LAMB4	amisp021670
FKBP1A	amisp012505
RRAS2	amisp011547
ITGA11	amisp023517
XRN2	amisp003231
IKZF3	amisp016824
IKZF2	comp49825_c0_seq2
MRAS	amisp003938
ATF5	amisp031177
FKBP1B	amisp010341
COPZ1	amisp005537
COPG1	amisp012752
RASA3	amisp033088
PHLDA1	amisp012827
MTF2	comp70301_c1_seq1
HSPA4L	amisp029752
DNAJC8	amisp006513
PUF60	amisp020804
SCAF8	amisp035062
KIAA1009	amisp025572
ZNF652	comp65163_c0_seq2
RHOBTB3	amisp003508
COBLL1	amisp021295
RNF44	amisp025461
DLGAP4	comp65990_c1_seq2
RAB11FIP2	amisp020588
PPM1E	amisp005889
FRMPD1	amisp023027
DOLK	amisp012393
VASH1	amisp027535
ZNF507	amisp028100
AAK1	amisp011816
CPEB3	amisp021870
ADNP2	amisp018593
ANKRD26	amisp030571
LMTK2	amisp018222
NTNG1	comp58332_c0_seq1
CHSY1	amisp006134
ICK	amisp001328
LPHN1	comp70905_c0_seq13
FKBP2	amisp010256
FNDC3A	amisp017515
ATG14	amisp008758
R3HDM2	comp28401_c0_seq1
SLITRK3	amisp006409
CNKSR2	comp67231_c0_seq1
FASTKD2	comp56771_c0_seq1
FKBP3	amisp003646
PPP6R1	amisp018891
NLGN1	comp60682_c1_seq1
SEC31A	comp68654_c0_seq1
DZIP1	amisp000113
PLEKHA6	amisp012008
ENPP4	amisp021804
INPP5F	amisp027093
MLXIP	amisp017832
TRAPPC8	amisp028510
FKBP4	amisp021419
MORC2	amisp030861
ANKRD6	amisp003912
ZHX2	amisp001686
CLSTN1	comp65294_c0_seq2
WDR37	amisp015969
ABLIM3	comp70785_c1_seq37
UBOX5	comp69924_c2_seq8
KIAA0907	amisp030206
FKBP5	amisp029454
ZBTB1	amisp033320
ZNF365	amisp015306
BAHD1	amisp006518
DIS3	amisp029519
RPH3A	amisp025916
CEP164	comp70513_c0_seq5
DENND3	amisp034233
ALDOB	amisp025164
FOXG1	amisp008283
ARSG	amisp012433
RUFY3	comp70374_c1_seq8
BTBD3	amisp004290
SBNO2	amisp032429
EPN2	amisp004114
TRAK1	comp69808_c0_seq8
DHX30	amisp024748
SACM1L	amisp023673
FAN1	comp68714_c0_seq8
WDR47	amisp001460
RALY	amisp005632
KLRK1	comp1817702_c0_seq1
MMRN1	comp902502_c0_seq1
NCBP2	amisp009787
ZP1	amisp028717
CD93	amisp033477
MAPRE1	amisp021912
KIFAP3	amisp013572
MSRB2	amisp034298
MAPRE3	comp61130_c0_seq1
PLA2R1	amisp032605
ATF6	amisp034568
HABP4	amisp005827
SEPHS2	amisp033286
SEPHS1	amisp029267
RAB3GAP1	amisp017844
RAB18	amisp009096
SIRT2	amisp002049
RPIA	amisp017223
ELL2	amisp000999
SCAP	amisp005295
SNW1	amisp012948
FOXF1	amisp033866
SHANK2	amisp012287
DKK1	amisp020617
KIN	amisp023157
CCT5	amisp029257
PTGR1	amisp004499
FOXF2	amisp010224
SLC4A1AP	amisp003315
P2RX2	amisp020758
TRIM32	comp66047_c0_seq2
SCMH1	amisp029616
FOXD1	amisp033672
TPX2	comp66163_c0_seq3
PAXIP1	amisp033060
NT5C2	amisp027466
EFR3B	comp71053_c7_seq26
TCF25	amisp030100
NINL	amisp030675
DIP2C	comp64419_c0_seq2
MAST1	amisp002342
PDCD11	amisp027472
ACIN1	amisp020896
SORCS3	amisp006766
SV2C	comp70065_c4_seq2
FOXI1	amisp019363
PCNX	amisp007075
KDM2A	comp66736_c1_seq10
HMGXB3	amisp031242
AZI1	amisp020345
CEP152	amisp007411
TTC39A	amisp007049
IGSF9B	amisp020194
LIMCH1	comp68577_c2_seq16
RIMS1	comp69473_c1_seq20
ABCF1	amisp033824
ALDOC	amisp014642
WDFY3	comp69990_c4_seq1
DAAM1	comp68878_c0_seq2
MAPKBP1	comp69391_c1_seq3
PLCH1	comp63981_c0_seq1
KLHDC10	amisp000486
FOXE3	amisp033673
RAB21	amisp010528
STK38L	amisp003192
SPEN	amisp017583
FBXO21	amisp016347
EXOSC7	amisp023216
FAIM2	amisp004196
CNOT1	comp67900_c1_seq2
FOXJ1	amisp022864
SNRNP200	amisp002167
PALLD	amisp014707
TMCC1	amisp016769
PDZRN3	amisp000581
UNC13A	amisp031796
MYO16	amisp017252
KDM1A	amisp002891
RBM34	amisp004150
FOXC2	amisp033861
KDM4B	amisp030692
MAST3	amisp027304
USP33	amisp023702
DOPEY1	comp69516_c1_seq17
SAMD4A	comp65443_c0_seq2
PHLPP2	amisp009822
ZNF292	amisp004750
PDZD2	amisp035106
WDTC1	amisp008476
XPO7	amisp025595
FOXE1	amisp015827
MYT1L	amisp015519
MON2	comp70820_c3_seq7
PDXDC1	amisp025791
TNIK	comp70279_c6_seq3
KIF21B	comp70675_c0_seq3
PDS5B	amisp028134
FNBP1	comp70724_c1_seq5
SMG1	amisp016734
FOXM1	amisp021422
ZHX3	amisp005378
ENDOD1	amisp013839
ZSWIM8	amisp014079
NCOA6	amisp031771
NMNAT2	amisp014659
CLUAP1	amisp009639
ZNF609	amisp007468
TBC1D9B	comp65953_c0_seq3
GGA2	amisp023986
WAPAL	amisp023881
SETX	amisp030730
EMC1	amisp022396
SETD1B	amisp017822
CMTR1	amisp029203
ERP44	amisp006737
HECW1	amisp032552
UHRF1BP1L	amisp031894
SWAP70	amisp006534
RRP1B	amisp017076
MYCBP2	amisp021347
VWA8	comp69261_c3_seq4
FOXO1	amisp004565
AVL9	amisp022177
KDM4C	comp68716_c1_seq6
PPRC1	comp57884_c0_seq1
ERC1	amisp018701
EXPH5	amisp020539
TRIM35	amisp032178
PEG10	comp39972_c0_seq1
FOXO3	amisp029567
ZNF423	amisp033757
ZC3H13	amisp023206
ARHGAP26	comp70882_c1_seq16
TTLL5	amisp007163
SIPA1L3	amisp007825
KIF1B	comp70326_c6_seq14
CDK19	comp70732_c5_seq14
SARM1	amisp014649
ZBTB43	amisp028058
MCF2L2	comp69345_c1_seq13
TBC1D2B	amisp003896
FSTL4	amisp027870
MRPS27	amisp000910
RAP1GAP2	amisp024449
SPG20	amisp023883
TNRC6B	comp70343_c1_seq1
CUL9	amisp018563
NFASC	comp70211_c0_seq46
FAM179B	amisp003651
TAB2	amisp008032
HIC2	amisp018779
ATP10B	amisp018994
CLASP2	amisp031308
CAMTA2	amisp028590
POGZ	comp69621_c1_seq28
COLGALT2	amisp017957
PLXND1	amisp016771
FLI1	amisp027861
GPATCH8	amisp029993
RAD54L2	amisp008849
PHF8	amisp017161
KDM6B	comp60654_c0_seq2
EPB41L3	comp68098_c0_seq19
SMC5	amisp009345
N4BP3	amisp011326
MAST2	comp70802_c0_seq7
FLII	amisp024292
ZZEF1	amisp026316
ANKLE2	comp65518_c0_seq1
DCUN1D4	amisp007999
LRCH1	comp66669_c0_seq9
ZC3H3	amisp000288
SSPO	amisp027000
NACAD	amisp014389
FCHO1	comp64275_c0_seq1
MLANA	amisp012223
FRMD4B	comp63905_c0_seq1
GRAMD4	amisp020019
CIC	amisp026207
NCDN	amisp002866
CLCC1	comp67954_c1_seq3
SEPT6	amisp034913
TBC1D9	amisp013043
FLNA	amisp033702
WDR43	amisp033494
SNX13	comp61302_c0_seq2
MAPK8IP3	comp68337_c0_seq16
GGA3	amisp022922
MPRIP	comp70223_c0_seq13
NUP205	amisp000232
STAB1	amisp020313
EFR3A	amisp024662
RTF1	amisp003495
SLC35D1	amisp030521
FLNB	comp69102_c1_seq9
TTLL12	amisp033607
GPD1L	amisp024958
FAM175B	amisp032204
METAP1	amisp025433
ZCCHC14	amisp033898
LPIN1	comp67318_c0_seq1
SEPT8	amisp021009
CEP68	amisp012995
PASK	comp65530_c0_seq2
RGL1	comp30791_c0_seq2
FLNC	amisp000142
RFTN1	amisp023691
DIP2A	comp69116_c5_seq2
MESDC2	amisp035155
LARP4B	amisp021158
RCOR1	amisp004135
PHLDB1	amisp027040
KANK1	amisp020484
FLOT2	amisp024305
UBXN4	amisp008877
CYFIP1	amisp034966
ATG4B	comp59973_c0_seq2
GANAB	amisp016563
FBXL7	amisp011032
MDN1	amisp003908
FAM120A	amisp010417
FAF2	amisp025460
PSME4	amisp003091
GSE1	comp58593_c0_seq2
ATP11B	amisp025888
FAM168A	amisp005920
PMPCA	amisp013730
ARL6IP1	amisp016736
ACSBG1	amisp008342
PLEKHM2	amisp018862
SYT11	amisp030203
MLC1	comp68784_c1_seq7
FLT1	comp67108_c0_seq2
JMJD6	amisp022844
ZC3H4	comp68797_c1_seq1
RRS1	comp494861_c0_seq1
SULF1	amisp000902
XPO6	amisp009631
PRRC2C	comp69972_c3_seq21
TBC1D1	comp70194_c0_seq1
NBEAL2	comp65364_c0_seq1
FBXO28	amisp032472
FLT3	amisp016527
DTX4	amisp005495
RHOBTB2	amisp029792
RRP12	amisp004660
SYNE2	comp70697_c3_seq11
NUP210	comp27963_c0_seq1
PLCL2	amisp026948
ARHGEF9	amisp032622
FLT3LG	comp686849_c0_seq1
VPS13A	comp70101_c0_seq6
SEL1L3	amisp000190
TBC1D12	amisp011960
EXOC6B	amisp026980
DNAJC9	amisp024112
SIK2	amisp010398
PLCB1	amisp015804
ARC	amisp009742
PHLPP1	amisp002811
FLT4	amisp031240
KIAA0922	amisp012974
PACS2	comp69146_c0_seq3
COBL	comp70144_c1_seq21
ANKRD28	comp65458_c0_seq2
PDS5A	amisp009029
ASTN2	comp69185_c0_seq1
BOP1	amisp007633
KIAA0556	comp69029_c2_seq10
RPRD2	amisp023086
ATP11A	comp63850_c0_seq2
KIAA1024	amisp005598
OTUD3	amisp007592
ANKRD12	amisp003573
KAZN	amisp015672
SOGA2	comp68899_c0_seq12
SCFD1	amisp018113
DENND5A	comp70861_c2_seq6
DDHD2	amisp032855
FMO1	comp66723_c2_seq1
CAMTA1	amisp023907
PPIP5K2	comp70120_c1_seq13
MCF2L	comp68599_c1_seq2
ZC3H7B	amisp032687
EXOC7	comp62813_c0_seq9
LPHN2	comp68366_c0_seq11
DNMBP	amisp014528
MGA	amisp000731
FMO2	amisp021151
TSPYL4	amisp017141
CAMSAP2	comp69899_c3_seq6
FAM208A	comp71094_c1_seq12
CLEC16A	amisp008296
POFUT2	amisp016779
KLHL18	comp69881_c0_seq2
CLUH	amisp024453
NUP160	amisp013278
FMO3	amisp021148
MTUS2	amisp001499
LPHN3	comp67770_c2_seq1
KIAA1107	amisp013512
WWC1	amisp019967
AGTPBP1	amisp022607
IQCE	amisp010981
FMO4	comp65584_c0_seq2
FBXW11	amisp001287
SMG6	amisp003201
ANKS1A	comp70214_c0_seq9
MGRN1	comp62986_c0_seq5
BICD2	amisp029142
FMO5	amisp001975
ATMIN	amisp002207
EHBP1	comp68387_c0_seq2
WSCD1	amisp024442
KIF13B	amisp031676
UBR2	amisp028253
ACSL6	amisp027434
TMEM194A	amisp023798
FKBP15	amisp000634
ICOSLG	amisp020190
SIN3B	amisp025656
FMOD	amisp004651
NCAPD3	amisp011119
DMXL2	comp70231_c0_seq3
KIAA0930	amisp026959
SATB2	amisp026824
SLC9A8	amisp018348
CUX2	amisp005489
DNAJC13	amisp005425
ZCCHC11	amisp019889
FMR1	amisp010212
TRIM2	amisp012979
RPGRIP1L	amisp024987
MAN2B2	amisp025641
KIAA1033	amisp015603
USP22	amisp024248
NEDD4L	comp69978_c2_seq1
SASH1	amisp012872
TBC1D30	amisp032305
TTC28	amisp032235
CLASP1	comp70899_c0_seq4
DPY19L1	amisp008393
SZT2	comp68128_c0_seq3
WDR7	comp68930_c0_seq2
SYNM	amisp002451
PHF15	comp67362_c0_seq3
VPS39	comp67603_c0_seq6
AFF2	amisp031976
DNAJC16	amisp022618
ESYT1	amisp011390
SYNE1	comp70865_c0_seq9
SMCHD1	amisp007184
DOCK9	comp70275_c0_seq24
KIAA1045	amisp034099
FN1	comp66792_c0_seq7
U2SURP	amisp026885
KHNYN	amisp002707
UBR4	amisp022389
SUN1	comp68696_c6_seq6
HAUS5	amisp030444
VPS8	amisp026279
ANGEL1	amisp027534
USP24	amisp004436
FAM189A1	amisp018770
FNBP4	amisp013276
PSD3	amisp000242
ARHGEF12	comp62764_c0_seq2
KIAA0895	amisp032502
LARP1	amisp010081
PPP1R13B	amisp000034
PUM2	amisp014409
ARHGEF18	amisp027308
TENC1	amisp034391
CRTC1	comp69883_c1_seq18
UFL1	amisp001482
RRP8	amisp000865
KIAA0947	amisp009159
SRGAP2	amisp002761
SMG5	amisp005982
AHCYL2	comp70422_c0_seq8
MAU2	amisp027250
SPECC1L	amisp014295
NCSTN	amisp013079
NUDCD3	amisp014421
SIK3	comp69993_c1_seq9
MED13L	amisp016338
FNTA	amisp007368
ZDHHC17	comp68723_c1_seq2
KIAA0368	amisp004496
ADNP	amisp018329
LARS2	amisp023675
PIP5K1C	comp70718_c1_seq1
NCAPH	amisp002173
PPWD1	amisp006665
CTDNEP1	amisp006369
ATP13A2	amisp029606
FBXO46	amisp004906
EXOSC2	amisp030753
DICER1	amisp006418
COTL1	amisp021322
SIRT5	amisp008401
SIRT4	amisp005251
SIRT3	amisp027619
SIRT1	amisp011792
COMMD3	amisp028550
NCS1	amisp022453
ZFPM2	amisp006315
KCNH4	amisp008219
KCNH3	amisp011420
MLYCD	comp63863_c0_seq2
CRB1	amisp020136
FNTB	amisp013286
NOMO1	amisp025773
ITGB3BP	amisp025437
TDRD7	amisp002215
GRIP1	amisp016024
SLC7A8	amisp020898
RYBP	amisp032820
AP4E1	amisp028008
GPR161	amisp031811
RHOQ	comp68205_c0_seq5
TARDBP	amisp011778
ATP1B4	amisp034930
OTP	amisp009964
SLC35A3	amisp030984
SLC44A1	amisp032669
SF3B3	amisp030271
SF3B1	amisp024029
ANGPTL2	amisp028053
ABCB10	amisp019239
ABCB9	amisp025955
FOLH1	comp70761_c0_seq10
ABCA5	amisp012419
HEY1	amisp034780
ICMT	amisp006813
GCAT	amisp017903
CBX6	amisp027697
NPTXR	amisp027698
CBX5	amisp005533
PHF3	amisp003021
TRAM1	amisp000893
CAPN7	amisp012651
ETHE1	amisp027828
QPRT	comp435879_c0_seq1
BRD4	amisp027506
SEC11A	comp49073_c0_seq2
ISCU	amisp025923
FOLR1	amisp021286
SEC61G	amisp031566
PES1	amisp006100
TGDS	amisp009542
LEPROTL1	amisp014438
CBX7	amisp027696
HEY2	amisp031081
TNFRSF13B	amisp024252
HAAO	amisp017318
MACF1	comp70951_c0_seq9
FOLR2	comp47561_c0_seq1
DAAM2	amisp022166
ZFYVE26	amisp001523
RIMBP2	comp70877_c1_seq16
TMEM131	amisp017038
GLTSCR1L	amisp028258
LRRC8B	comp61617_c1_seq2
TTC9	amisp007078
POFUT1	amisp021928
KCTD2	comp67204_c1_seq2
NUP188	amisp012390
SUZ12	amisp008564
SCRIB	amisp020805
SPIDR	amisp026112
MORC3	amisp015588
SLC39A14	amisp029808
SKIV2L2	amisp021548
R3HDM1	comp70715_c2_seq35
RPL13A	amisp027546
KAT6B	amisp025102
CABIN1	amisp011590
SRRM2	comp47658_c0_seq1
HMHA1	amisp032432
ACAP2	comp69273_c1_seq31
ZNF281	amisp018649
CLCF1	amisp027970
FOS	amisp007153
NNT	amisp009496
MMD	amisp014101
PIK3R5	amisp014790
TNPO3	amisp006756
ADAT1	comp69786_c1_seq3
OR52A1	comp45472_c0_seq1
SLC16A8	amisp017892
FOSB	amisp004929
SEC14L2	amisp006103
MAPK8IP2	amisp029158
RBFOX2	comp68808_c0_seq28
SEZ6L	amisp030801
ATP6V0A2	amisp005805
SYNGR4	amisp034878
TTC33	amisp010767
DNPEP	amisp017636
FOSL2	comp69977_c6_seq1
PSD4	amisp025496
RASD2	amisp024641
CDK20	amisp030040
TSPAN12	amisp014948
TSPAN15	amisp010504
PIGN	amisp001150
SNAPIN	amisp000420
WBP2	amisp022888
WBP1	amisp025335
FPGS	amisp020259
GTPBP4	amisp002120
LPAR3	comp25666_c0_seq1
ZNF346	comp69274_c0_seq1
ARL2BP	amisp032220
DDAH1	amisp021114
CDC42EP4	amisp018907
CASP14	amisp004737
CCNDBP1	amisp013311
SMUG1	amisp005528
VSIG2	amisp000720
TMEM50A	amisp023252
DDX58	amisp009361
ELP5	comp68276_c0_seq6
KLHDC2	amisp001713
CARHSP1	amisp015856
PDSS1	amisp009083
LEMD3	amisp018189
ORC6	amisp032018
ORC3	amisp021369
OPN3	amisp002798
ACOT9	comp68760_c2_seq40
PATZ1	comp68539_c2_seq8
AMACR	comp69828_c1_seq3
CLEC5A	amisp023440
CORO1C	amisp025926
DAPK2	comp63776_c0_seq6
CD2AP	amisp015272
MKRN1	amisp021600
MKRN2	amisp018927
PHLDA3	amisp016155
ZMYND8	comp68865_c0_seq24
SH3BP1	amisp018475
TSSK2	amisp000152
BACE1	amisp016941
RUSC1	amisp000343
SPO11	amisp021394
CA14	amisp026499
KPNA6	amisp019494
SSBP2	amisp010061
NUP62	amisp027649
RABGAP1	amisp020129
LRRC6	amisp017816
HSPBP1	amisp018892
LY96	amisp005146
EDC4	amisp034947
PPP1R15A	amisp027542
PLD3	amisp007818
ARFIP2	amisp000862
SSBP3	comp56099_c0_seq2
POLA2	comp66428_c0_seq1
TRIM29	amisp004412
PLXNB2	amisp014274
SLC7A11	comp1432389_c0_seq1
LSM5	amisp022174
PLA2G15	amisp026139
TMEM2	amisp011290
TMEFF2	amisp027398
STX12	amisp009233
SMPX	amisp017273
SH3BP4	amisp011170
SGK3	amisp001302
RAB38	comp39115_c0_seq1
PRKD3	amisp018462
KCNE4	amisp018142
CADM1	comp68639_c1_seq10
GABARAPL1	amisp016090
SHPK	comp69562_c0_seq18
TMEM245	amisp002108
FRRS1L	amisp030573
AIPL1	amisp014261
SDF2L1	amisp027526
PPIL2	amisp030987
PITPNB	comp68788_c0_seq3
PISD	comp70914_c1_seq111
OSBP2	comp70555_c0_seq2
MAFF	amisp017886
IL17RA	amisp024830
FLRT3	amisp017970
FLRT2	amisp019682
FLRT1	amisp010277
FKBP8	amisp027286
BRD1	comp68114_c0_seq4
BCL2L13	amisp024820
MTCH1	amisp025031
MTCH2	amisp013272
ALK	amisp020489
FXN	amisp003444
ABCA4	amisp002399
ALOX5	amisp003614
ALOX5AP	amisp023370
KIF4A	amisp031283
IFIT5	amisp005168
EML2	amisp004907
FTSJ1	amisp030045
LAMP5	amisp033589
NAT6	amisp029895
TFIP11	amisp030805
PANX1	amisp019072
CLDN15	amisp027335
FJX1	amisp026843
PRPF6	amisp007382
ZNF318	amisp006260
FRK	amisp006610
SPDYA	amisp033491
VGLL2	amisp018055
ATP6V1C2	amisp005577
CNOT6L	amisp007909
GAS2L2	amisp021449
CDC26	amisp000631
SLC17A8	amisp031889
RNASEH1	amisp029865
LACE1	amisp015995
STAC3	amisp012111
IL27	amisp023551
ALOX15B	amisp008617
MTOR	amisp011768
ALPI	amisp026867
FRG1	amisp015191
FRZB	amisp023425
ALPL	amisp018883
CENPI	amisp014258
FSHR	amisp013754
NR5A2	amisp026777
FTH1	amisp027631
ABL1	comp70950_c0_seq2
ADAM2	comp58365_c0_seq2
FUCA1	amisp029012
FUCA2	amisp026018
FUS	comp67275_c1_seq3
FUT2	amisp018898
FUT3	comp66245_c1_seq1
FUT4	amisp019064
TMEM9	amisp016925
FUT7	amisp002542
NEIL2	amisp013507
STXBP4	amisp008867
FNDC5	amisp028966
FUT8	amisp023832
HEPACAM2	amisp013402
TECRL	comp159097_c0_seq1
KDSR	amisp002815
PRR14L	amisp014313
EPHX4	amisp013513
SERHL2	amisp034034
DARC	amisp029230
RICTOR	amisp016870
FYB	comp59749_c0_seq1
FYN	amisp013055
IPMK	comp68126_c9_seq2
ZBTB38	amisp012730
FZD2	amisp029992
SLC25A30	comp66913_c0_seq9
LCLAT1	amisp029479
CADM2	comp69452_c0_seq2
TMEM244	amisp015500
GPATCH11	amisp004040
MMS22L	amisp002897
EBF3	comp57793_c0_seq1
WDR27	amisp035132
CERS6	comp64085_c0_seq2
G6PC	amisp028870
MSRB3	amisp018188
ZDHHC20	amisp031099
G6PD	amisp033288
ANGPTL5	amisp013379
YTHDF3	amisp003481
RALGAPA1	comp69764_c0_seq15
KCTD13	comp56328_c0_seq1
METTL20	amisp031919
METAP1D	amisp002661
UBN2	amisp034029
LRRC43	amisp017834
BRWD3	amisp024965
CXorf58	amisp022026
FBXO33	amisp007102
TTLL10	amisp023331
TSGA10IP	comp1035671_c0_seq1
SLC37A4	comp66226_c0_seq13
RNF169	amisp008986
FAM26E	amisp026695
BPIFC	amisp015628
LCORL	comp30923_c0_seq1
CNIH2	comp135884_c0_seq1
AKNAD1	amisp001452
PHYHD1	amisp012395
ZDHHC24	amisp016582
MCM9	comp63904_c0_seq1
PROSER2	amisp015093
SLC41A1	amisp002749
MEIOB	amisp009701
LPCAT4	amisp005583
NUDT8	comp63000_c0_seq1
XRCC6	amisp004474
LYG2	amisp005470
C8orf46	amisp001297
GAA	amisp020364
NAALADL2	amisp026950
TMEM256	amisp006348
ZDHHC23	comp654656_c0_seq1
GAB1	comp70783_c2_seq16
MORN5	amisp020110
GABBR1	comp68306_c0_seq1
CALHM1	amisp027474
MPV17L	amisp025790
TMEM86B	amisp018890
C19orf26	amisp032425
GABPA	amisp021052
CCDC108	amisp004832
TMCO4	amisp007593
C4orf22	amisp012241
PLA2G4F	amisp009263
MCOLN2	comp63082_c0_seq2
LRRC57	amisp010867
GABPB1	comp70515_c1_seq80
EPGN	amisp032171
TMEM211	amisp016274
MBLAC1	amisp022654
TCP11L2	amisp015609
GABRA1	amisp024376
RASGEF1C	amisp034832
RNF144B	amisp015633
GABRA2	comp70638_c0_seq4
ELMOD2	amisp013044
GABRA3	amisp008757
COL24A1	comp60391_c0_seq1
GABRA4	amisp014772
OR52B2	amisp011703
PCSK9	amisp004437
NPNT	comp68752_c0_seq3
TCTEX1D2	amisp033728
PDZD9	amisp014593
C3orf43	comp25742_c0_seq1
GABRA5	amisp025096
C19orf38	amisp032918
GABRA6	amisp024372
CNEP1R1	amisp033762
SYT14	amisp028245
PAN3	amisp016530
ANKRD31	amisp005364
GABRB2	amisp024370
SYCE2	amisp002349
TMEM196	amisp028532
HMCN2	amisp030763
GABRB3	amisp025097
NUDT14	amisp028082
PTF1A	amisp034300
GABRD	amisp006955
C17orf103	amisp024242
CCDC110	comp69656_c0_seq3
C11orf35	amisp008126
GK5	amisp026900
SCML4	amisp015986
ST6GALNAC3	amisp029434
MFSD8	amisp013455
TCERG1L	amisp015808
LYSMD2	amisp028005
GABRG2	comp69605_c4_seq1
CXorf23	amisp020067
NUTM1	amisp005584
MAMDC2	amisp009343
MAP7D2	amisp020072
WDR72	amisp005248
GABRP	amisp033268
C10orf67	amisp033547
GABRR1	amisp021357
C17orf66	amisp000093
SUN3	amisp009355
SERINC5	amisp016212
ALX3	amisp023458
GABRR2	amisp021355
FRMD3	comp64748_c0_seq7
C1orf101	amisp002025
CATSPERD	comp46750_c1_seq1
PLCXD2	amisp024084
GAD1	amisp012031
ARHGAP30	amisp018074
RNF214	amisp016940
C9orf43	amisp000619
C1orf192	amisp010577
NEGR1	comp485939_c0_seq1
GAD2	amisp012024
SHPRH	amisp021211
CCDC96	amisp025647
KLHL34	comp23841_c0_seq1
UTS2B	amisp027148
SNX33	amisp008248
TAB3	amisp020411
FAM133B	amisp021719
KIAA1549L	amisp024692
SHC2	amisp013136
ANKS4B	amisp014598
HYPK	amisp018545
PRPF40B	amisp003708
SLC24A2	comp70082_c3_seq1
TBC1D22A	amisp012920
CBY1	amisp027707
SUN2	amisp027703
DSTYK	amisp005260
RASGRP3	amisp006258
RAB3GAP2	amisp000838
RAD54B	amisp026368
TMEM59L	amisp027282
CCDC19	amisp029240
NGEF	amisp025815
CIZ1	amisp020230
FBXO7	amisp015629
FSCN2	amisp020334
PGLS	amisp014804
QPCT	amisp018463
BRI3	amisp018228
AMBN	amisp028367
GAK	amisp002232
SLC39A6	amisp018598
GCA	amisp015908
SVIP	amisp033027
LMOD1	amisp012694
SPDEF	comp467306_c0_seq1
LSM4	amisp027293
BAMBI	amisp005772
VAX2	amisp023509
RHBDD3	amisp021490
TTLL1	amisp004692
GALC	amisp005156
SAMM50	amisp025902
ATXN10	amisp001581
TNFAIP8	amisp023725
FAM19A5	comp58799_c0_seq1
CCRN4L	amisp029681
GALE	amisp029010
ARIH1	amisp033293
MTO1	amisp005336
DNAJB5	amisp034097
PRDX5	amisp010261
BACE2	amisp030341
FBXL2	amisp031311
TXN2	amisp001880
TMEM184B	comp69734_c6_seq17
B4GALNT1	amisp012094
SULT4A1	amisp020629
HECTD1	comp66491_c0_seq7
POU2F3	amisp024704
MGAT4C	amisp004347
NIPBL	amisp003788
RAB26	amisp023940
COG4	amisp030270
GALK1	amisp022899
METTL7A	amisp003690
ABTB2	amisp023498
ASF1A	amisp032239
MOB4	amisp015380
YIPF3	amisp034081
ANAPC13	amisp022536
PARM1	amisp017691
GALK2	amisp015926
TECPR1	amisp018226
ARMC8	comp70105_c0_seq7
DCAF12	amisp012278
FAM149A	amisp019824
DFNB31	comp61929_c0_seq1
USP49	amisp003293
ABHD14A	amisp008837
GALR1	amisp017660
SUMF2	amisp029648
C3orf17	amisp023470
RPL36	amisp015156
MPC2	amisp011893
LETMD1	amisp004216
SPEF1	amisp019575
MXRA5	amisp026563
DCAF13	amisp034752
GALNS	comp70378_c4_seq66
TMEM186	amisp015859
CHRDL2	amisp008980
POLR1A	amisp021765
POC1A	amisp034363
GALNT1	amisp021678
ABI3BP	comp70477_c0_seq40
PAMR1	amisp026845
METTL21B	amisp012079
INTS7	amisp020496
RNF19A	amisp020211
RCHY1	amisp017694
